,0,1,2,3,4,5
0,-0.932871401309967,-0.9295143485069275,-0.9361955523490906,-0.9309440851211548,-0.9358407855033875,-0.9315972924232483
1,-0.6904881596565247,-0.6890432834625244,-0.6919912099838257,-0.6941796541213989,-0.69687819480896,-0.6887356042861938
2,-0.9226825833320618,-0.9226933121681213,-0.9287127256393433,-0.9300003051757812,-0.9335238337516785,-0.9245542287826538
3,-0.98814457654953,-0.9852784872055054,-0.9916221499443054,-0.9938529133796692,-0.9957884550094604,-0.9881755113601685
4,-0.9520828723907471,-0.9468916654586792,-0.9539408683776855,-0.9543225765228271,-0.9574267864227295,-0.949513852596283
5,-0.9850399494171143,-0.9773322939872742,-0.9834197163581848,-0.9812260270118713,-0.9944620728492737,-0.9867687821388245
6,-0.9900412559509277,-0.9826417565345764,-0.9917640686035156,-0.9890038371086121,-0.9974472522735596,-0.9906352162361145
7,-0.9784135222434998,-0.9729832410812378,-0.9783833622932434,-0.9796947836875916,-0.9872491359710693,-0.9780250787734985
8,-1.0011850595474243,-0.9973706603050232,-0.9963335990905762,-0.9956449866294861,-0.9991288781166077,-0.9957793354988098
9,-0.9358837008476257,-0.9295670390129089,-0.9392310380935669,-0.9388716816902161,-0.9458779096603394,-0.9339908957481384
10,-0.9985114932060242,-0.9883957505226135,-0.9961321949958801,-0.9960207939147949,-1.0014064311981201,-0.9924890995025635
11,-0.8656358122825623,-0.8594127893447876,-0.8585391044616699,-0.8541722893714905,-0.85695880651474,-0.8552160859107971
12,-0.9634808301925659,-0.9577687978744507,-0.9660102725028992,-0.962985098361969,-0.9722998738288879,-0.9651311039924622
13,-0.9997342824935913,-0.9927922487258911,-0.9994670152664185,-0.9982413053512573,-1.0045775175094604,-0.9979662895202637
14,-0.9916422963142395,-0.9839443564414978,-0.9898549318313599,-0.9859482645988464,-0.9960713386535645,-0.990852952003479
15,-0.972542941570282,-0.969555675983429,-0.9741048812866211,-0.9769595265388489,-0.9785263538360596,-0.9731124043464661
16,-0.9870586395263672,-0.9818462133407593,-0.9874931573867798,-0.9847407341003418,-0.9925704002380371,-0.9889373779296875
17,-0.9969972372055054,-0.9906418323516846,-0.9959567785263062,-0.99503493309021,-0.9997540712356567,-0.9950994253158569
18,-0.9953465461730957,-0.9878337979316711,-0.9922922253608704,-0.9922999143600464,-0.9995489716529846,-0.9922471046447754
19,-0.3849151134490967,-0.3912521302700043,-0.3366197347640991,-0.31421276926994324,-0.2584506869316101,-0.31520554423332214
20,-1.0008338689804077,-0.9961608648300171,-1.0012985467910767,-0.9978910088539124,-1.0046852827072144,-0.9974390268325806
21,-0.8163140416145325,-0.8071127533912659,-0.8077073693275452,-0.8046597242355347,-0.8077907562255859,-0.8081721067428589
22,-0.8547710180282593,-0.847778856754303,-0.8402724266052246,-0.8360063433647156,-0.8345606327056885,-0.8386216759681702
23,-0.99050372838974,-0.9842395782470703,-0.987021803855896,-0.9876405000686646,-0.9933013916015625,-0.9869356751441956
24,-0.9728012681007385,-0.9653475880622864,-0.9722808003425598,-0.9693287014961243,-0.9801554083824158,-0.9739328026771545
25,-0.9416930675506592,-0.9365659952163696,-0.9435685873031616,-0.9479700326919556,-0.9535560607910156,-0.9421941041946411
26,-0.9897046685218811,-0.9852719902992249,-0.9881362318992615,-0.9869803786277771,-0.9961698055267334,-0.9902091026306152
27,-0.9162221550941467,-0.9131402969360352,-0.9182503819465637,-0.9160898923873901,-0.9250448942184448,-0.9159664511680603
28,-0.9555222988128662,-0.9485267996788025,-0.9571678638458252,-0.9526947140693665,-0.9587552547454834,-0.950607180595398
29,-0.814041256904602,-0.804345428943634,-0.8135364651679993,-0.8129871487617493,-0.8220831155776978,-0.814230740070343
30,-0.9421486854553223,-0.9386093616485596,-0.9468845725059509,-0.9474787712097168,-0.95259028673172,-0.9435932636260986
31,-1.0004525184631348,-0.9915722608566284,-0.9960832595825195,-0.9954937696456909,-1.0012856721878052,-0.9975885152816772
32,-0.7837343811988831,-0.7809642553329468,-0.7851041555404663,-0.78813236951828,-0.7911190390586853,-0.7841868996620178
33,-0.6516556739807129,-0.6453558206558228,-0.6549748182296753,-0.6535162925720215,-0.6635623574256897,-0.6542969942092896
34,-0.9214352965354919,-0.913748025894165,-0.9231106042861938,-0.9254528880119324,-0.9319693446159363,-0.92414790391922
35,-0.9689136147499084,-0.9601531624794006,-0.9663294553756714,-0.9639758467674255,-0.9725462198257446,-0.9674252867698669
36,-0.9959366917610168,-0.9900649785995483,-0.9965493679046631,-0.9982947111129761,-1.006424069404602,-0.994703471660614
37,-0.9223384857177734,-0.9147534370422363,-0.9247097969055176,-0.9213066697120667,-0.9319238662719727,-0.922138512134552
38,-0.992560863494873,-0.9856159090995789,-0.9892727732658386,-0.9944637417793274,-1.001676082611084,-0.9934468865394592
39,-0.9691622257232666,-0.9609006643295288,-0.9648774862289429,-0.96025151014328,-0.9686056971549988,-0.9650115966796875
40,-0.9715831279754639,-0.9602915048599243,-0.9647778272628784,-0.9610893726348877,-0.9669503569602966,-0.9690870046615601
41,-0.9443995356559753,-0.9359588623046875,-0.93932044506073,-0.9420747756958008,-0.947799801826477,-0.9436843395233154
